start	end	type
9562	cpd:C00631;9562	type2
cpd:C00631	cpd:C00631;9562	type3
cpd:C00631;9562	cpd:C01159	type4
4967	cpd:C00026;cpd:C00068;4967	type2
cpd:C00026	cpd:C00026;cpd:C00068;4967	type3
cpd:C00068	cpd:C00026;cpd:C00068;4967	type3
cpd:C00026;cpd:C00068;4967	cpd:C05381	type4
55526	cpd:C00026;cpd:C00068;55526	type2
cpd:C00026	cpd:C00026;cpd:C00068;55526	type3
cpd:C00068	cpd:C00026;cpd:C00068;55526	type3
cpd:C00026;cpd:C00068;55526	cpd:C05381	type4
55753	cpd:C00026;cpd:C00068;55753	type2
cpd:C00026	cpd:C00026;cpd:C00068;55753	type3
cpd:C00068	cpd:C00026;cpd:C00068;55753	type3
cpd:C00026;cpd:C00068;55753	cpd:C05381	type4
4967	cpd:C05381;cpd:C15972;4967	type2
cpd:C05381	cpd:C05381;cpd:C15972;4967	type3
cpd:C15972	cpd:C05381;cpd:C15972;4967	type3
cpd:C05381;cpd:C15972;4967	cpd:C00068	type4
cpd:C05381;cpd:C15972;4967	cpd:C16254	type4
55526	cpd:C05381;cpd:C15972;55526	type2
cpd:C05381	cpd:C05381;cpd:C15972;55526	type3
cpd:C15972	cpd:C05381;cpd:C15972;55526	type3
cpd:C05381;cpd:C15972;55526	cpd:C00068	type4
cpd:C05381;cpd:C15972;55526	cpd:C16254	type4
55753	cpd:C05381;cpd:C15972;55753	type2
cpd:C05381	cpd:C05381;cpd:C15972;55753	type3
cpd:C15972	cpd:C05381;cpd:C15972;55753	type3
cpd:C05381;cpd:C15972;55753	cpd:C00068	type4
cpd:C05381;cpd:C15972;55753	cpd:C16254	type4
1743	cpd:C00091;cpd:C15973;1743	type2
cpd:C00091	cpd:C00091;cpd:C15973;1743	type3
cpd:C15973	cpd:C00091;cpd:C15973;1743	type3
cpd:C00091;cpd:C15973;1743	cpd:C16254	type4
1743	cpd:C16254;1743	type2
cpd:C16254	cpd:C16254;1743	type3
cpd:C16254;1743	cpd:C00091	type4
cpd:C16254;1743	cpd:C15973	type4
8801	cpd:C00042;8801	type2
cpd:C00042	cpd:C00042;8801	type3
cpd:C00042;8801	cpd:C00091	type4
8802	cpd:C00042;8802	type2
cpd:C00042	cpd:C00042;8802	type3
cpd:C00042;8802	cpd:C00091	type4
8803	cpd:C00042;8803	type2
cpd:C00042	cpd:C00042;8803	type3
cpd:C00042;8803	cpd:C00091	type4
8801	cpd:C00091;8801	type2
cpd:C00091	cpd:C00091;8801	type3
cpd:C00091;8801	cpd:C00042	type4
8802	cpd:C00091;8802	type2
cpd:C00091	cpd:C00091;8802	type3
cpd:C00091;8802	cpd:C00042	type4
8803	cpd:C00091;8803	type2
cpd:C00091	cpd:C00091;8803	type3
cpd:C00091;8803	cpd:C00042	type4
8801	cpd:C00042;8801	type2
cpd:C00042	cpd:C00042;8801	type3
cpd:C00042;8801	cpd:C00091	type4
8802	cpd:C00042;8802	type2
cpd:C00042	cpd:C00042;8802	type3
cpd:C00042;8802	cpd:C00091	type4
8803	cpd:C00042;8803	type2
cpd:C00042	cpd:C00042;8803	type3
cpd:C00042;8803	cpd:C00091	type4
8801	cpd:C00091;8801	type2
cpd:C00091	cpd:C00091;8801	type3
cpd:C00091;8801	cpd:C00042	type4
8802	cpd:C00091;8802	type2
cpd:C00091	cpd:C00091;8802	type3
cpd:C00091;8802	cpd:C00042	type4
8803	cpd:C00091;8803	type2
cpd:C00091	cpd:C00091;8803	type3
cpd:C00091;8803	cpd:C00042	type4
3417	cpd:C05379;3417	type2
cpd:C05379	cpd:C05379;3417	type3
cpd:C05379;3417	cpd:C00026	type4
3418	cpd:C05379;3418	type2
cpd:C05379	cpd:C05379;3418	type3
cpd:C05379;3418	cpd:C00026	type4
3417	cpd:C00026;3417	type2
cpd:C00026	cpd:C00026;3417	type3
cpd:C00026;3417	cpd:C05379	type4
3418	cpd:C00026;3418	type2
cpd:C00026	cpd:C00026;3418	type3
cpd:C00026;3418	cpd:C05379	type4
3419	cpd:C00311;3419	type2
cpd:C00311	cpd:C00311;3419	type3
cpd:C00311;3419	cpd:C00026	type4
3420	cpd:C00311;3420	type2
cpd:C00311	cpd:C00311;3420	type3
cpd:C00311;3420	cpd:C00026	type4
3421	cpd:C00311;3421	type2
cpd:C00311	cpd:C00311;3421	type3
cpd:C00311;3421	cpd:C00026	type4
3419	cpd:C00026;3419	type2
cpd:C00026	cpd:C00026;3419	type3
cpd:C00026;3419	cpd:C00311	type4
3420	cpd:C00026;3420	type2
cpd:C00026	cpd:C00026;3420	type3
cpd:C00026;3420	cpd:C00311	type4
3421	cpd:C00026;3421	type2
cpd:C00026	cpd:C00026;3421	type3
cpd:C00026;3421	cpd:C00311	type4
3417	cpd:C00311;3417	type2
cpd:C00311	cpd:C00311;3417	type3
cpd:C00311;3417	cpd:C05379	type4
3418	cpd:C00311;3418	type2
cpd:C00311	cpd:C00311;3418	type3
cpd:C00311;3418	cpd:C05379	type4
3417	cpd:C05379;3417	type2
cpd:C05379	cpd:C05379;3417	type3
cpd:C05379;3417	cpd:C00311	type4
3418	cpd:C05379;3418	type2
cpd:C05379	cpd:C05379;3418	type3
cpd:C05379;3418	cpd:C00311	type4
47	cpd:C00024;cpd:C00036;47	type2
cpd:C00024	cpd:C00024;cpd:C00036;47	type3
cpd:C00036	cpd:C00024;cpd:C00036;47	type3
cpd:C00024;cpd:C00036;47	cpd:C00158	type4
47	cpd:C00158;47	type2
cpd:C00158	cpd:C00158;47	type3
cpd:C00158;47	cpd:C00024	type4
cpd:C00158;47	cpd:C00036	type4
6389	cpd:C00042;6389	type2
cpd:C00042	cpd:C00042;6389	type3
cpd:C00042;6389	cpd:C00122	type4
6390	cpd:C00042;6390	type2
cpd:C00042	cpd:C00042;6390	type3
cpd:C00042;6390	cpd:C00122	type4
