start	end	type
56451	cpd:C00091;56451	type2
cpd:C00091	cpd:C00091;56451	type3
cpd:C00091;56451	cpd:C00042	type4
20916	cpd:C00042;20916	type2
cpd:C00042	cpd:C00042;20916	type3
cpd:C00042;20916	cpd:C00091	type4
20917	cpd:C00042;20917	type2
cpd:C00042	cpd:C00042;20917	type3
cpd:C00042;20917	cpd:C00091	type4
56451	cpd:C00042;56451	type2
cpd:C00042	cpd:C00042;56451	type3
cpd:C00042;56451	cpd:C00091	type4
20916	cpd:C00091;20916	type2
cpd:C00091	cpd:C00091;20916	type3
cpd:C00091;20916	cpd:C00042	type4
20917	cpd:C00091;20917	type2
cpd:C00091	cpd:C00091;20917	type3
cpd:C00091;20917	cpd:C00042	type4
56451	cpd:C00091;56451	type2
cpd:C00091	cpd:C00091;56451	type3
cpd:C00091;56451	cpd:C00042	type4
15926	cpd:C05379;15926	type2
cpd:C05379	cpd:C05379;15926	type3
cpd:C05379;15926	cpd:C00026	type4
269951	cpd:C05379;269951	type2
cpd:C05379	cpd:C05379;269951	type3
cpd:C05379;269951	cpd:C00026	type4
15926	cpd:C00026;15926	type2
cpd:C00026	cpd:C00026;15926	type3
cpd:C00026;15926	cpd:C05379	type4
269951	cpd:C00026;269951	type2
cpd:C00026	cpd:C00026;269951	type3
cpd:C00026;269951	cpd:C05379	type4
15929	cpd:C00311;15929	type2
cpd:C00311	cpd:C00311;15929	type3
cpd:C00311;15929	cpd:C00026	type4
170718	cpd:C00311;170718	type2
cpd:C00311	cpd:C00311;170718	type3
cpd:C00311;170718	cpd:C00026	type4
243996	cpd:C00311;243996	type2
cpd:C00311	cpd:C00311;243996	type3
cpd:C00311;243996	cpd:C00026	type4
67834	cpd:C00311;67834	type2
cpd:C00311	cpd:C00311;67834	type3
cpd:C00311;67834	cpd:C00026	type4
15929	cpd:C00026;15929	type2
cpd:C00026	cpd:C00026;15929	type3
cpd:C00026;15929	cpd:C00311	type4
170718	cpd:C00026;170718	type2
cpd:C00026	cpd:C00026;170718	type3
cpd:C00026;170718	cpd:C00311	type4
243996	cpd:C00026;243996	type2
cpd:C00026	cpd:C00026;243996	type3
cpd:C00026;243996	cpd:C00311	type4
67834	cpd:C00026;67834	type2
cpd:C00026	cpd:C00026;67834	type3
cpd:C00026;67834	cpd:C00311	type4
15926	cpd:C00311;15926	type2
cpd:C00311	cpd:C00311;15926	type3
cpd:C00311;15926	cpd:C05379	type4
269951	cpd:C00311;269951	type2
cpd:C00311	cpd:C00311;269951	type3
cpd:C00311;269951	cpd:C05379	type4
15926	cpd:C05379;15926	type2
cpd:C05379	cpd:C05379;15926	type3
cpd:C05379;15926	cpd:C00311	type4
269951	cpd:C05379;269951	type2
cpd:C05379	cpd:C05379;269951	type3
cpd:C05379;269951	cpd:C00311	type4
104112	cpd:C00024;cpd:C00036;104112	type2
cpd:C00024	cpd:C00024;cpd:C00036;104112	type3
cpd:C00036	cpd:C00024;cpd:C00036;104112	type3
cpd:C00024;cpd:C00036;104112	cpd:C00158	type4
104112	cpd:C00158;104112	type2
cpd:C00158	cpd:C00158;104112	type3
cpd:C00158;104112	cpd:C00024	type4
cpd:C00158;104112	cpd:C00036	type4
66945	cpd:C00042;66945	type2
cpd:C00042	cpd:C00042;66945	type3
cpd:C00042;66945	cpd:C00122	type4
67680	cpd:C00042;67680	type2
cpd:C00042	cpd:C00042;67680	type3
cpd:C00042;67680	cpd:C00122	type4
66945	cpd:C00122;66945	type2
cpd:C00122	cpd:C00122;66945	type3
cpd:C00122;66945	cpd:C00042	type4
67680	cpd:C00122;67680	type2
cpd:C00122	cpd:C00122;67680	type3
cpd:C00122;67680	cpd:C00042	type4
14194	cpd:C00149;14194	type2
cpd:C00149	cpd:C00149;14194	type3
cpd:C00149;14194	cpd:C00122	type4
14194	cpd:C00122;14194	type2
cpd:C00122	cpd:C00122;14194	type3
cpd:C00122;14194	cpd:C00149	type4
11428	cpd:C00417;11428	type2
