start	end	type
cpd:C05378	cpd:C05378;4325027	type3
cpd:C05378;4325027	cpd:C00111	type4
cpd:C05378;4325027	cpd:C00118	type4
4326074	cpd:C05378;4326074	type2
cpd:C05378	cpd:C05378;4326074	type3
cpd:C05378;4326074	cpd:C00111	type4
cpd:C05378;4326074	cpd:C00118	type4
4338737	cpd:C05378;4338737	type2
cpd:C05378	cpd:C05378;4338737	type3
cpd:C05378;4338737	cpd:C00111	type4
cpd:C05378;4338737	cpd:C00118	type4
4341496	cpd:C05378;4341496	type2
cpd:C05378	cpd:C05378;4341496	type3
cpd:C05378;4341496	cpd:C00111	type4
cpd:C05378;4341496	cpd:C00118	type4
4344545	cpd:C05378;4344545	type2
cpd:C05378	cpd:C05378;4344545	type3
cpd:C05378;4344545	cpd:C00111	type4
cpd:C05378;4344545	cpd:C00118	type4
4349897	cpd:C05378;4349897	type2
cpd:C05378	cpd:C05378;4349897	type3
cpd:C05378;4349897	cpd:C00111	type4
cpd:C05378;4349897	cpd:C00118	type4
107277365	cpd:C05378;107277365	type2
cpd:C05378	cpd:C05378;107277365	type3
cpd:C05378;107277365	cpd:C00118	type4
4325027	cpd:C05378;4325027	type2
cpd:C05378	cpd:C05378;4325027	type3
cpd:C05378;4325027	cpd:C00118	type4
4326074	cpd:C05378;4326074	type2
cpd:C05378	cpd:C05378;4326074	type3
cpd:C05378;4326074	cpd:C00118	type4
4338737	cpd:C05378;4338737	type2
cpd:C05378	cpd:C05378;4338737	type3
cpd:C05378;4338737	cpd:C00118	type4
4341496	cpd:C05378;4341496	type2
cpd:C05378	cpd:C05378;4341496	type3
cpd:C05378;4341496	cpd:C00118	type4
4344545	cpd:C05378;4344545	type2
cpd:C05378	cpd:C05378;4344545	type3
cpd:C05378;4344545	cpd:C00118	type4
4349897	cpd:C05378;4349897	type2
cpd:C05378	cpd:C05378;4349897	type3
cpd:C05378;4349897	cpd:C00118	type4
107277365	cpd:C00111;cpd:C00118;107277365	type2
cpd:C00111	cpd:C00111;cpd:C00118;107277365	type3
cpd:C00118	cpd:C00111;cpd:C00118;107277365	type3
cpd:C00111;cpd:C00118;107277365	cpd:C05378	type4
4325027	cpd:C00111;cpd:C00118;4325027	type2
cpd:C00111	cpd:C00111;cpd:C00118;4325027	type3
cpd:C00118	cpd:C00111;cpd:C00118;4325027	type3
cpd:C00111;cpd:C00118;4325027	cpd:C05378	type4
4326074	cpd:C00111;cpd:C00118;4326074	type2
cpd:C00111	cpd:C00111;cpd:C00118;4326074	type3
cpd:C00118	cpd:C00111;cpd:C00118;4326074	type3
cpd:C00111;cpd:C00118;4326074	cpd:C05378	type4
4338737	cpd:C00111;cpd:C00118;4338737	type2
cpd:C00111	cpd:C00111;cpd:C00118;4338737	type3
cpd:C00118	cpd:C00111;cpd:C00118;4338737	type3
cpd:C00111;cpd:C00118;4338737	cpd:C05378	type4
4341496	cpd:C00111;cpd:C00118;4341496	type2
cpd:C00111	cpd:C00111;cpd:C00118;4341496	type3
cpd:C00118	cpd:C00111;cpd:C00118;4341496	type3
cpd:C00111;cpd:C00118;4341496	cpd:C05378	type4
4344545	cpd:C00111;cpd:C00118;4344545	type2
cpd:C00111	cpd:C00111;cpd:C00118;4344545	type3
cpd:C00118	cpd:C00111;cpd:C00118;4344545	type3
cpd:C00111;cpd:C00118;4344545	cpd:C05378	type4
4349897	cpd:C00111;cpd:C00118;4349897	type2
cpd:C00111	cpd:C00111;cpd:C00118;4349897	type3
cpd:C00118	cpd:C00111;cpd:C00118;4349897	type3
cpd:C00111;cpd:C00118;4349897	cpd:C05378	type4
107277365	cpd:C00118;107277365	type2
cpd:C00118	cpd:C00118;107277365	type3
cpd:C00118;107277365	cpd:C05378	type4
4325027	cpd:C00118;4325027	type2
cpd:C00118	cpd:C00118;4325027	type3
cpd:C00118;4325027	cpd:C05378	type4
4326074	cpd:C00118;4326074	type2
cpd:C00118	cpd:C00118;4326074	type3
cpd:C00118;4326074	cpd:C05378	type4
4338737	cpd:C00118;4338737	type2
cpd:C00118	cpd:C00118;4338737	type3
cpd:C00118;4338737	cpd:C05378	type4
4341496	cpd:C00118;4341496	type2
cpd:C00118	cpd:C00118;4341496	type3
cpd:C00118;4341496	cpd:C05378	type4
4344545	cpd:C00118;4344545	type2
cpd:C00118	cpd:C00118;4344545	type3
cpd:C00118;4344545	cpd:C05378	type4
4349897	cpd:C00118;4349897	type2
cpd:C00118	cpd:C00118;4349897	type3
cpd:C00118;4349897	cpd:C05378	type4
4327196	cpd:C05345;4327196	type2
cpd:C05345	cpd:C05345;4327196	type3
cpd:C05345;4327196	cpd:C05378	type4
4327301	cpd:C05345;4327301	type2
cpd:C05345	cpd:C05345;4327301	type3
cpd:C05345;4327301	cpd:C05378	type4
4336113	cpd:C05345;4336113	type2
cpd:C05345	cpd:C05345;4336113	type3
cpd:C05345;4336113	cpd:C05378	type4
4338034	cpd:C05345;4338034	type2
cpd:C05345	cpd:C05345;4338034	type3
cpd:C05345;4338034	cpd:C05378	type4
4339369	cpd:C05345;4339369	type2
cpd:C05345	cpd:C05345;4339369	type3
cpd:C05345;4339369	cpd:C05378	type4
4340153	cpd:C05345;4340153	type2
cpd:C05345	cpd:C05345;4340153	type3
cpd:C05345;4340153	cpd:C05378	type4
4347060	cpd:C05345;4347060	type2
cpd:C05345	cpd:C05345;4347060	type3
cpd:C05345;4347060	cpd:C05378	type4
4347383	cpd:C05345;4347383	type2
cpd:C05345	cpd:C05345;4347383	type3
cpd:C05345;4347383	cpd:C05378	type4
4348582	cpd:C05345;4348582	type2
cpd:C05345	cpd:C05345;4348582	type3
cpd:C05345;4348582	cpd:C05378	type4
4325071	cpd:C05378;4325071	type2
cpd:C05378	cpd:C05378;4325071	type3
cpd:C05378;4325071	cpd:C05345	type4
4332364	cpd:C05378;4332364	type2
cpd:C05378	cpd:C05378;4332364	type3
cpd:C05378;4332364	cpd:C05345	type4
4338912	cpd:C05378;4338912	type2
