start	end	type
cpd:C00118	cpd:C00111;cpd:C00118;AT2G21330	type3
cpd:C00111;cpd:C00118;AT2G21330	cpd:C05378	type4
AT2G36460	cpd:C00111;cpd:C00118;AT2G36460	type2
cpd:C00111	cpd:C00111;cpd:C00118;AT2G36460	type3
cpd:C00118	cpd:C00111;cpd:C00118;AT2G36460	type3
cpd:C00111;cpd:C00118;AT2G36460	cpd:C05378	type4
AT3G52930	cpd:C00111;cpd:C00118;AT3G52930	type2
cpd:C00111	cpd:C00111;cpd:C00118;AT3G52930	type3
cpd:C00118	cpd:C00111;cpd:C00118;AT3G52930	type3
cpd:C00111;cpd:C00118;AT3G52930	cpd:C05378	type4
AT4G26520	cpd:C00111;cpd:C00118;AT4G26520	type2
cpd:C00111	cpd:C00111;cpd:C00118;AT4G26520	type3
cpd:C00118	cpd:C00111;cpd:C00118;AT4G26520	type3
cpd:C00111;cpd:C00118;AT4G26520	cpd:C05378	type4
AT4G26530	cpd:C00111;cpd:C00118;AT4G26530	type2
cpd:C00111	cpd:C00111;cpd:C00118;AT4G26530	type3
cpd:C00118	cpd:C00111;cpd:C00118;AT4G26530	type3
cpd:C00111;cpd:C00118;AT4G26530	cpd:C05378	type4
AT4G38970	cpd:C00111;cpd:C00118;AT4G38970	type2
cpd:C00111	cpd:C00111;cpd:C00118;AT4G38970	type3
cpd:C00118	cpd:C00111;cpd:C00118;AT4G38970	type3
cpd:C00111;cpd:C00118;AT4G38970	cpd:C05378	type4
AT5G03690	cpd:C00111;cpd:C00118;AT5G03690	type2
cpd:C00111	cpd:C00111;cpd:C00118;AT5G03690	type3
cpd:C00118	cpd:C00111;cpd:C00118;AT5G03690	type3
cpd:C00111;cpd:C00118;AT5G03690	cpd:C05378	type4
AT2G01140	cpd:C00118;AT2G01140	type2
cpd:C00118	cpd:C00118;AT2G01140	type3
cpd:C00118;AT2G01140	cpd:C05378	type4
AT2G21330	cpd:C00118;AT2G21330	type2
cpd:C00118	cpd:C00118;AT2G21330	type3
cpd:C00118;AT2G21330	cpd:C05378	type4
AT2G36460	cpd:C00118;AT2G36460	type2
cpd:C00118	cpd:C00118;AT2G36460	type3
cpd:C00118;AT2G36460	cpd:C05378	type4
AT3G52930	cpd:C00118;AT3G52930	type2
cpd:C00118	cpd:C00118;AT3G52930	type3
cpd:C00118;AT3G52930	cpd:C05378	type4
AT4G26520	cpd:C00118;AT4G26520	type2
cpd:C00118	cpd:C00118;AT4G26520	type3
cpd:C00118;AT4G26520	cpd:C05378	type4
AT4G26530	cpd:C00118;AT4G26530	type2
cpd:C00118	cpd:C00118;AT4G26530	type3
cpd:C00118;AT4G26530	cpd:C05378	type4
AT4G38970	cpd:C00118;AT4G38970	type2
cpd:C00118	cpd:C00118;AT4G38970	type3
cpd:C00118;AT4G38970	cpd:C05378	type4
AT5G03690	cpd:C00118;AT5G03690	type2
cpd:C00118	cpd:C00118;AT5G03690	type3
cpd:C00118;AT5G03690	cpd:C05378	type4
AT2G22480	cpd:C05345;AT2G22480	type2
cpd:C05345	cpd:C05345;AT2G22480	type3
cpd:C05345;AT2G22480	cpd:C05378	type4
AT4G26270	cpd:C05345;AT4G26270	type2
cpd:C05345	cpd:C05345;AT4G26270	type3
cpd:C05345;AT4G26270	cpd:C05378	type4
AT4G29220	cpd:C05345;AT4G29220	type2
cpd:C05345	cpd:C05345;AT4G29220	type3
cpd:C05345;AT4G29220	cpd:C05378	type4
AT4G32840	cpd:C05345;AT4G32840	type2
cpd:C05345	cpd:C05345;AT4G32840	type3
cpd:C05345;AT4G32840	cpd:C05378	type4
AT5G47810	cpd:C05345;AT5G47810	type2
cpd:C05345	cpd:C05345;AT5G47810	type3
cpd:C05345;AT5G47810	cpd:C05378	type4
AT5G56630	cpd:C05345;AT5G56630	type2
cpd:C05345	cpd:C05345;AT5G56630	type3
cpd:C05345;AT5G56630	cpd:C05378	type4
AT5G61580	cpd:C05345;AT5G61580	type2
cpd:C05345	cpd:C05345;AT5G61580	type3
cpd:C05345;AT5G61580	cpd:C05378	type4
